id,created_date,updated_at,full_name,email,country,status,age,balance_eur,notes
16,2024-11-26,2024-12-08T17:52:18Z,Pablo Lopez,pablo.lopez.16@example.org,FR,active,22,2558.45,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
17,2024-04-22,2024-05-16T04:03:54Z,Sofia Brown,sofia.brown.17@example.org,NL,active,18,1704.49,"Reminder: send update by Friday, include the Q2 summary."
18,2023-02-01,2023-02-25T05:15:10Z,Nico Ricci,nico.ricci.18@example.org,ES,blocked,36,4062.74,"Noted issue with CSV export, ""quote handling"" needs review."
19,2025-05-19,2025-06-08T20:19:11Z,Jörg Müller,j.rg.m.ller.19@mail.test,DE,pending,21,851.16,"Prefers email over phone, often traveling between offices."
20,2024-12-25,2025-01-02T12:07:48Z,Emma Nguyen,emma.nguyen.20@example.com,IT,active,45,1169.59,"Reminder: send update by Friday, include the Q2 summary. Priority flagged; please confirm ""yes"" or ""no""."
21,2023-05-19,2023-05-27T03:23:14Z,Leo Smith,leo.smith.21@example.org,IT,active,20,1289.73,"Important: verify billing address, it changed recently."
22,2023-09-25,2023-10-03T18:59:42Z,Sophia Cohen,sophia.cohen.22@sample.io,IT,pending,73,5839.93,"Met at the conference, shared a card and discussed onboarding."
23,2023-09-04,2023-09-27T22:10:06Z,Lucas Hansen,lucas.hansen.23@example.org,FR,active,39,5104.44,"Reminder: send update by Friday, include the Q2 summary."
24,2024-03-05,2024-03-19T13:18:58Z,Isabella Taylor,isabella.taylor.24@example.org,US,active,41,147.54,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
25,2025-01-28,2025-02-26T04:27:41Z,Chloé Keller,chlo.keller.25@example.com,UK,active,43,2072.1,"Reminder: send update by Friday, include the Q2 summary."
26,2024-06-10,2024-07-01T10:34:06Z,Isabella Hansen,isabella.hansen.26@example.com,IT,active,39,0,"Reminder: send update by Friday, include the Q2 summary."
27,2024-05-04,2024-05-12T10:03:08Z,Chloé Brown,chlo.brown.27@example.com,PL,active,20,604.45,"Prefers email over phone, often traveling between offices."
28,2023-10-20,2023-11-04T14:12:31Z,Lucas Schneider,lucas.schneider.28@example.org,DE,active,36,6978.18,"Asked about discounts, mentioned budget constraints."
29,2024-09-13,2024-09-20T21:55:39Z,Emma Verhoeven,emma.verhoeven.29@example.org,PL,active,21,2683.62,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
30,2024-09-08,2024-09-26T03:54:55Z,Marta Wilson,marta.wilson.30@example.org,IT,active,19,1201.4,"Important: verify billing address, it changed recently."
31,2024-01-20,2024-01-26T03:46:12Z,Liam Wilson,liam.wilson.31@example.org,PL,active,48,6496.14,"Asked about discounts, mentioned budget constraints."
32,2023-01-21,2023-01-27T22:43:28Z,Ethan Verhoeven,ethan.verhoeven.32@example.com,UK,active,20,4866.04,"Prefers email over phone, often traveling between offices."
33,2023-07-06,2023-07-11T04:47:26Z,Chloé García,chlo.garc.a.33@example.org,PL,active,75,3515.97,"Noted issue with CSV export, ""quote handling"" needs review."
34,2023-08-09,2023-08-20T22:43:59Z,José Schneider,jos.schneider.34@mail.test,NL,active,21,746.69,"Prefers email over phone, often traveling between offices."
35,2023-05-06,2023-06-05T00:26:30Z,Łukasz Kowalski,ukasz.kowalski.35@sample.io,NL,active,21,4733.89,"Met at the conference, shared a card and discussed onboarding."
36,2023-02-01,2023-03-02T17:37:50Z,Mia Dubois,mia.dubois.36@example.org,UK,active,20,4364.9,"Asked about discounts, mentioned budget constraints."
37,2023-11-18,2023-11-18T02:49:52Z,Greta Verhoeven,greta.verhoeven.37@example.com,NL,pending,69,1481.13,"Met at the conference, shared a card and discussed onboarding."
38,2023-04-30,2023-05-06T23:42:30Z,Noah Nguyen,noah.nguyen.38@sample.io,NL,active,36,3781.48,"Asked about discounts, mentioned budget constraints. Additional detail: résumé, coöperate, smörgåsbord."
39,2023-07-25,2023-08-17T02:03:48Z,Ava Andersson,ava.andersson.39@mail.test,PL,active,25,7638.66,"Prefers email over phone, often traveling between offices. Priority flagged; please confirm ""yes"" or ""no""."
40,2023-08-18,2023-08-21T22:41:43Z,Isabella Bianchi,isabella.bianchi.40@mail.test,UK,active,25,2056.49,"Customer asked for a faster turnaround, please follow up."
41,2024-08-18,2024-08-30T13:29:20Z,Greta Novak,greta.novak.41@example.com,DE,active,22,5082.33,"Reminder: send update by Friday, include the Q2 summary."
42,2023-04-10,2023-04-15T21:41:29Z,Greta Bianchi,greta.bianchi.42@example.com,PL,active,28,7388.79,"Met at the conference, shared a card and discussed onboarding."
43,2023-04-29,2023-05-25T14:58:12Z,Olivia Wilson,olivia.wilson.43@mail.test,PL,active,49,4616.08,"Prefers email over phone, often traveling between offices."
44,2024-09-20,2024-10-07T14:21:58Z,Isabella Schneider,isabella.schneider.44@sample.io,US,pending,40,80.62,"Reminder: send update by Friday, include the Q2 summary."
45,2025-01-11,2025-01-21T07:54:26Z,Charlotte Bianchi,charlotte.bianchi.45@example.org,US,active,30,3342.1,"Prefers email over phone, often traveling between offices."
46,2024-10-23,2024-11-13T13:19:51Z,Leo Bakker,leo.bakker.46@example.com,NL,pending,70,0,"Met at the conference, shared a card and discussed onboarding."
47,2024-06-25,2024-07-18T20:53:28Z,Mia Schneider,mia.schneider+team3.47@sample.io,US,pending,43,4539.04,"Prefers email over phone, often traveling between offices."
48,2025-01-07,2025-01-16T18:42:10Z,Ben Schneider,ben.schneider.48@sample.io,NL,active,75,1805.43,"Prefers email over phone, often traveling between offices."
49,2025-02-28,2025-03-07T03:51:16Z,James Ricci,james.ricci.49@example.com,NL,active,25,5675.1,"Met at the conference, shared a card and discussed onboarding."
50,2023-06-08,2023-07-07T11:14:03Z,James Johnson,james.johnson.50@sample.io,UK,active,23,2322.41,"Noted issue with CSV export, ""quote handling"" needs review."
51,2024-08-03,2024-08-27T04:30:07Z,Francesca Walker,francesca.walker.51@example.org,ES,pending,45,963.62,"Important: verify billing address, it changed recently."
52,2024-12-21,2024-12-23T12:06:31Z,Ava Brown,ava.brown.52@mail.test,UK,active,38,0,"Reminder: send update by Friday, include the Q2 summary."
53,2024-12-17,2025-01-11T04:25:15Z,Noah Keller,noah.keller.53@example.org,UK,pending,74,1332.02,"Customer asked for a faster turnaround, please follow up."
54,2025-05-10,2025-05-12T10:31:11Z,Ava Cohen,ava.cohen.54@sample.io,ES,blocked,49,7000.62,"Asked about discounts, mentioned budget constraints."
55,2024-07-29,2024-08-12T08:25:27Z,Francesca Bakker,francesca.bakker.55@sample.io,NL,pending,31,4405.23,"Asked about discounts, mentioned budget constraints."
56,2025-02-28,2025-03-20T19:44:16Z,Ethan Martin,ethan.martin.56@mail.test,UK,active,45,1188.65,"Important: verify billing address, it changed recently."
57,2023-08-11,2023-08-25T19:36:03Z,Ethan Nguyen,ethan.nguyen.57@example.org,PL,pending,44,3329.55,"Important: verify billing address, it changed recently."
58,2024-11-01,2024-11-28T21:52:04Z,Charlotte Martin,charlotte.martin.58@example.org,IT,active,60,2958.81,"Met at the conference, shared a card and discussed onboarding. Priority flagged; please confirm ""yes"" or ""no""."
59,2023-10-26,2023-11-12T01:27:40Z,Amelia Rossi,amelia.rossi.59@mail.test,NL,active,39,7308.53,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
60,2024-02-11,2024-03-02T14:27:05Z,Charlotte Wilson,charlotte.wilson.60@example.com,ES,active,52,5824.04,"Important: verify billing address, it changed recently."
61,2025-01-30,2025-02-16T23:41:36Z,Olivia Wilson,olivia.wilson.61@example.org,PL,active,19,6711.66,"Prefers email over phone, often traveling between offices."
62,2024-04-23,2024-04-28T20:28:19Z,Sophia Hansen,sophia.hansen.62@mail.test,PL,active,26,6475.04,"Prefers email over phone, often traveling between offices."
63,2023-02-22,2023-03-23T16:21:00Z,Mason Schneider,mason.schneider.63@example.org,DE,active,42,6392.2,"Reminder: send update by Friday, include the Q2 summary."
64,2024-02-11,2024-02-15T21:46:09Z,James Brown,james.brown.64@example.com,NL,active,60,4021.61,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
65,2023-10-11,2023-11-04T19:10:39Z,Sophia García,sophia.garc.a.65@example.com,ES,active,75,1504.46,"Customer asked for a faster turnaround, please follow up."
66,2023-11-27,2023-12-20T00:59:15Z,Ava Hansen,ava.hansen.66@mail.test,FR,active,41,0,"Asked about discounts, mentioned budget constraints."
67,2025-01-12,2025-01-26T23:57:54Z,Łukasz Bianchi,ukasz.bianchi.67@example.com,DE,active,65,2726.52,"Noted issue with CSV export, ""quote handling"" needs review."
68,2025-01-20,2025-01-28T04:22:52Z,James Wilson,james.wilson.68@sample.io,NL,active,19,2753.19,"Met at the conference, shared a card and discussed onboarding."
69,2025-03-11,2025-03-29T18:45:48Z,Noah Kowalski,noah.kowalski.69@sample.io,IT,active,48,2867.98,"Prefers email over phone, often traveling between offices."
70,2023-09-21,2023-10-20T00:22:27Z,James Müller,james.m.ller.70@mail.test,US,active,32,7558.32,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
71,2023-02-08,2023-03-09T02:58:04Z,Jörg Smith,j.rg.smith.71@example.com,PL,active,53,19357.69,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
72,2023-05-22,2023-05-22T11:14:39Z,Leo Nowak,leo.nowak.72@mail.test,IT,active,31,1427.91,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
73,2025-01-31,2025-02-09T22:18:58Z,Nico Bianchi,nico.bianchi.73@sample.io,IT,active,18,7676.63,"Important: verify billing address, it changed recently."
74,2024-03-21,2024-04-08T10:55:22Z,Marta Müller,marta.m.ller.74@mail.test,ES,active,20,5142.59,"Noted issue with CSV export, ""quote handling"" needs review."
75,2024-04-12,2024-04-28T02:22:18Z,Greta Lopez,greta.lopez.75@example.com,US,pending,19,4963.68,"Prefers email over phone, often traveling between offices. Additional detail: résumé, coöperate, smörgåsbord."
76,2023-02-19,2023-03-06T14:41:59Z,Ava Bianchi,ava.bianchi.76@example.org,FR,active,30,4798.54,"Prefers email over phone, often traveling between offices."
77,2023-10-04,2023-10-26T19:44:03Z,Olivia Martin,olivia.martin.77@example.com,UK,active,19,3845.63,"Met at the conference, shared a card and discussed onboarding. Priority flagged; please confirm ""yes"" or ""no""."
78,2025-01-21,2025-02-06T05:39:59Z,Jörg Verhoeven,j.rg.verhoeven.78@sample.io,US,blocked,28,5629.92,"Prefers email over phone, often traveling between offices."
79,2024-04-25,2024-05-19T16:06:34Z,Nico Taylor,nico.taylor.79@example.com,IT,active,18,3614.7,"Important: verify billing address, it changed recently."
80,2025-03-27,2025-04-12T10:27:52Z,Chloé Wilson,chlo.wilson.80@mail.test,ES,active,49,6139.32,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
81,2024-01-01,2024-01-15T19:31:05Z,Isabella Kowalski,isabella.kowalski.81@mail.test,ES,active,59,5409.66,"Met at the conference, shared a card and discussed onboarding."
82,2023-08-02,2023-08-21T06:36:28Z,Marta Kowalski,marta.kowalski.82@mail.test,FR,active,51,2735.66,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
83,2023-08-31,2023-09-27T06:07:04Z,Renée Cohen,ren.e.cohen.83@mail.test,FR,pending,24,600.95,"Noted issue with CSV export, ""quote handling"" needs review."
84,2024-08-19,2024-08-20T11:01:14Z,Lucas Andersson,lucas.andersson.84@example.com,ES,active,29,3751.01,"Noted issue with CSV export, ""quote handling"" needs review."
85,2025-06-09,2025-06-14T01:51:14Z,Sophia Taylor,sophia.taylor.85@sample.io,UK,active,27,2985,"Met at the conference, shared a card and discussed onboarding."
86,2024-12-18,2025-01-14T07:47:07Z,Charlotte Walker,charlotte.walker.86@mail.test,UK,active,75,4115.36,"Prefers email over phone, often traveling between offices."
87,2023-02-10,2023-03-09T06:24:06Z,Emma Lopez,emma.lopez.87@sample.io,PL,active,22,624.44,"Asked about discounts, mentioned budget constraints."
88,2024-01-08,2024-01-23T03:40:47Z,Sofia Johnson,sofia.johnson.88@example.org,NL,pending,18,6524.1,"Asked about discounts, mentioned budget constraints."
89,2023-10-03,2023-10-24T14:21:17Z,Ben Novak,ben.novak.89@example.org,UK,pending,34,7962.49,"Important: verify billing address, it changed recently."
90,2024-11-04,2024-12-02T09:09:43Z,Mason Johnson,mason.johnson.90@mail.test,ES,active,65,7595.35,"Noted issue with CSV export, ""quote handling"" needs review."
91,2023-03-12,2023-03-16T08:37:04Z,Renée Janssen,ren.e.janssen.91@example.org,ES,active,71,2994.59,"Noted issue with CSV export, ""quote handling"" needs review."
92,2025-01-14,2025-01-28T06:49:32Z,Isabella Wilson,isabella.wilson.92@mail.test,ES,active,51,7079.14,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
93,2025-01-12,2025-01-13T20:08:43Z,Liam Müller,liam.m.ller.93@mail.test,IT,active,69,2412.87,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
94,2024-11-16,2024-12-14T17:49:35Z,Ethan Hansen,ethan.hansen+team5.94@sample.io,DE,active,55,7423.97,"Met at the conference, shared a card and discussed onboarding."
95,2025-04-23,2025-05-11T14:30:14Z,Noah Novak,noah.novak.95@example.com,IT,active,23,5736.92,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
96,2024-12-14,2025-01-12T08:35:26Z,Marta Verhoeven,marta.verhoeven.96@example.org,US,active,28,3372.55,"Prefers email over phone, often traveling between offices. Priority flagged; please confirm ""yes"" or ""no""."
97,2023-01-11,2023-01-11T10:01:10Z,Mason Rossi,mason.rossi.97@sample.io,US,active,41,5346.54,"Prefers email over phone, often traveling between offices."
98,2024-09-23,2024-10-08T19:56:11Z,Ella Taylor,ella.taylor.98@mail.test,DE,active,34,5286.49,"Potential expansion flagged; revisit after the next billing cycle. Potential expansion flagged; revisit after the next billing cycle. Account prefers monthly invoicing, with a net-30 payment window. Account prefers monthly invoicing, with a net-30 payment window. Include quotes like ""do not overlook edge cases"" and commas, too. Potential expansion flagged; revisit after the next billing cycle. Include quotes like ""do not overlook edge cases"" and commas, too."
99,2023-07-03,2023-07-08T07:27:15Z,José Bakker,jos.bakker.99@example.com,DE,active,22,4626.69,"Reminder: send update by Friday, include the Q2 summary."
100,2024-03-29,2024-04-03T11:17:19Z,Ethan Rossi,ethan.rossi.100@example.org,FR,active,44,3063.57,"Prefers email over phone, often traveling between offices."
101,2025-02-07,2025-02-23T19:31:18Z,Sophia Brown,sophia.brown.101@example.com,UK,pending,22,2592.89,"Important: verify billing address, it changed recently."
102,2025-03-02,2025-04-01T13:21:25Z,Isabella Smith,isabella.smith.102@sample.io,PL,active,51,7741.73,"Reminder: send update by Friday, include the Q2 summary."
103,2023-12-25,2024-01-17T06:51:57Z,José Verhoeven,jos.verhoeven.103@sample.io,DE,active,68,2414.22,"Line one for José Verhoeven, includes a comma.
Line two adds a quote: ""check CSV""."
104,2023-11-17,2023-12-10T19:01:22Z,Ben Dubois,ben.dubois.104@example.org,ES,pending,68,4168.91,"Noted issue with CSV export, ""quote handling"" needs review."
105,2024-10-31,2024-11-10T02:16:48Z,Nico Ricci,nico.ricci.105@sample.io,ES,pending,23,1548.07,"Met at the conference, shared a card and discussed onboarding."
106,2025-01-05,2025-01-25T04:21:51Z,Mia Cohen,mia.cohen.106@example.org,PL,active,27,2829.87,"Reminder: send update by Friday, include the Q2 summary."
107,2023-08-26,2023-08-26T13:15:52Z,Noah Schneider,noah.schneider.107@example.org,NL,active,20,6200.5,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
108,2024-09-11,2024-09-12T19:36:35Z,Ava Müller,ava.m.ller.108@example.com,ES,active,49,5064.54,"Met at the conference, shared a card and discussed onboarding."
109,2023-04-18,2023-05-07T13:34:43Z,Renée Kowalski,ren.e.kowalski.109@example.org,FR,pending,37,5148.23,"Customer asked for a faster turnaround, please follow up."
110,2024-09-16,2024-09-24T03:42:01Z,Isabella Rossi,isabella.rossi.110@example.com,UK,active,50,6908.01,"Reminder: send update by Friday, include the Q2 summary."
111,2023-06-23,2023-07-11T07:41:33Z,Francesca Bianchi,francesca.bianchi.111@example.org,NL,active,58,4999.6,"Customer asked for a faster turnaround, please follow up."
112,2025-06-27,2025-07-10T14:20:35Z,Renée Brown,ren.e.brown.112@example.org,FR,active,65,2370.02,"Met at the conference, shared a card and discussed onboarding. Additional detail: résumé, coöperate, smörgåsbord."
113,2023-03-04,2023-03-18T22:15:29Z,Charlotte Ricci,charlotte.ricci.113@example.org,UK,active,22,2284.86,"Asked about discounts, mentioned budget constraints."
114,2024-09-21,2024-10-13T08:01:32Z,James Walker,james.walker.114@example.org,FR,active,72,1298.52,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
115,2023-09-15,2023-10-07T22:07:31Z,José Novak,jos.novak.115@sample.io,NL,active,37,6618.03,"Noted issue with CSV export, ""quote handling"" needs review. Priority flagged; please confirm ""yes"" or ""no""."
116,2024-08-13,2024-09-01T21:40:31Z,Ben Dubois,ben.dubois.116@example.org,US,active,73,2582.49,"Customer asked for a faster turnaround, please follow up."
117,2024-04-02,2024-04-09T04:50:47Z,Isabella Dubois,isabella.dubois.117@example.org,US,active,24,5976.68,"Asked about discounts, mentioned budget constraints."
118,2024-11-02,2024-11-12T08:34:53Z,Noah Wilson,noah.wilson.118@example.org,UK,active,27,5042.53,"Met at the conference, shared a card and discussed onboarding."
119,2025-01-25,2025-02-13T03:19:37Z,Emma Walker,emma.walker.119@mail.test,IT,active,24,1696.21,"Noted issue with CSV export, ""quote handling"" needs review."
120,2024-11-27,2024-12-21T20:31:40Z,Amelia Dubois,amelia.dubois.120@sample.io,FR,pending,32,3266,"Line one for Amelia Dubois, includes a comma.
Line two adds a quote: ""check CSV""."
121,2024-07-19,2024-07-28T04:43:13Z,Ben Novak,ben.novak.121@sample.io,US,pending,31,3241.56,"Important: verify billing address, it changed recently."
122,2023-11-10,2023-12-07T12:05:25Z,Emma García,emma.garc.a.122@example.org,PL,active,52,1535.09,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
123,2024-03-02,2024-03-07T07:17:04Z,Emma Müller,emma.m.ller.123@mail.test,DE,active,21,861.14,"Met at the conference, shared a card and discussed onboarding."
124,2024-09-10,2024-09-20T20:29:36Z,Amelia García,amelia.garc.a.124@mail.test,PL,active,40,1634.68,"Customer asked for a faster turnaround, please follow up."
125,2023-07-05,2023-07-29T09:01:45Z,Noah Hansen,noah.hansen.125@example.org,UK,active,20,6775.74,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
126,2024-11-18,2024-12-18T21:55:30Z,Noah Cohen,noah.cohen.126@example.org,IT,active,49,4271.04,"Prefers email over phone, often traveling between offices."
127,2024-07-06,2024-07-16T08:37:50Z,Lucas Smith,lucas.smith.127@example.org,DE,active,48,5389.33,"Reminder: send update by Friday, include the Q2 summary."
128,2023-01-08,2023-01-11T03:51:38Z,Greta Nguyen,greta.nguyen.128@example.org,US,active,35,-166.5,"Important: verify billing address, it changed recently."
129,2023-03-22,2023-04-15T23:31:10Z,Lucas Janssen,lucas.janssen.129@example.com,PL,blocked,35,4532.66,"Reminder: send update by Friday, include the Q2 summary."
130,2024-01-28,2024-02-07T00:47:09Z,Ben Janssen,ben.janssen.130@example.org,PL,active,45,7502.38,"Prefers email over phone, often traveling between offices."
131,2023-12-01,2023-12-03T20:36:38Z,Mason Bianchi,mason.bianchi.131@sample.io,DE,active,48,539.82,"Important: verify billing address, it changed recently."
132,2023-02-11,2023-02-23T17:51:34Z,Renée Nguyen,ren.e.nguyen.132@mail.test,FR,active,30,2927.79,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
133,2024-08-05,2024-08-14T02:30:07Z,Charlotte Cohen,charlotte.cohen.133@sample.io,IT,active,66,6410.33,"Customer asked for a faster turnaround, please follow up."
134,2025-03-08,2025-03-19T01:07:20Z,Jörg Bakker,j.rg.bakker.134@example.org,DE,active,75,6552.76,"Important: verify billing address, it changed recently. Priority flagged; please confirm ""yes"" or ""no""."
135,2025-01-15,2025-01-30T16:14:14Z,James Rossi,james.rossi.135@sample.io,US,active,30,417.55,"Noted issue with CSV export, ""quote handling"" needs review."
136,2023-05-31,2023-06-18T14:24:28Z,Łukasz Janssen,ukasz.janssen.136@sample.io,IT,active,54,7896.92,"Reminder: send update by Friday, include the Q2 summary."
137,2023-08-31,2023-09-30T23:25:37Z,Ethan Wilson,ethan.wilson.137@example.com,IT,active,42,77.56,"Met at the conference, shared a card and discussed onboarding."
138,2023-06-19,2023-07-02T01:14:36Z,Mason Lopez,mason.lopez.138@sample.io,FR,active,74,20052.33,"Noted issue with CSV export, ""quote handling"" needs review."
139,2025-06-26,2025-07-15T14:07:08Z,Sofia Cohen,sofia.cohen.139@example.org,FR,pending,70,15667.79,"Met at the conference, shared a card and discussed onboarding."
140,2023-09-01,2023-09-21T19:20:35Z,Francesca Wilson,francesca.wilson.140@mail.test,ES,pending,73,5712.76,"Asked about discounts, mentioned budget constraints."
141,2024-11-16,2024-12-11T18:12:24Z,Sophia Andersson,sophia.andersson+team2.141@example.com,NL,active,71,2376.97,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
142,2024-08-03,2024-08-07T01:31:46Z,Lucas Verhoeven,lucas.verhoeven.142@mail.test,IT,active,38,2066.46,"Account prefers monthly invoicing, with a net-30 payment window. Include quotes like ""do not overlook edge cases"" and commas, too. The client requested a detailed timeline and milestone checklist. Follow-up notes for Lucas Verhoeven in IT. Account prefers monthly invoicing, with a net-30 payment window. Account prefers monthly invoicing, with a net-30 payment window. Potential expansion flagged; revisit after the next billing cycle. The client requested a detailed timeline and milestone checklist. Potential expansion flagged; revisit after the next billing cycle."
143,2023-10-26,2023-10-30T22:32:07Z,James Novak,james.novak.143@example.org,DE,active,21,5296.61,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
144,2024-12-16,2024-12-22T19:59:51Z,Sophia Novak,sophia.novak.144@mail.test,PL,active,61,2514.96,"Asked about discounts, mentioned budget constraints."
145,2025-04-07,2025-04-30T07:27:45Z,Hannah Martin,hannah.martin.145@sample.io,ES,active,20,4980.66,"Asked about discounts, mentioned budget constraints."
146,2024-02-07,2024-02-27T17:38:55Z,Francesca Verhoeven,francesca.verhoeven.146@example.com,PL,pending,73,2616.64,"Prefers email over phone, often traveling between offices."
147,2023-09-06,2023-09-08T07:39:34Z,Hannah Kowalski,hannah.kowalski.147@mail.test,ES,active,35,3147.47,"Noted issue with CSV export, ""quote handling"" needs review."
148,2024-01-12,2024-01-13T06:34:20Z,Charlotte García,charlotte.garc.a.148@example.com,US,active,69,143.73,"Line one for Charlotte García, includes a comma.
Line two adds a quote: ""check CSV""."
149,2024-06-05,2024-07-01T01:39:35Z,James Hansen,james.hansen.149@example.com,FR,active,21,1120.64,"Reminder: send update by Friday, include the Q2 summary. Additional detail: résumé, coöperate, smörgåsbord."
150,2023-10-25,2023-11-11T11:24:40Z,Emma Taylor,emma.taylor.150@sample.io,PL,pending,32,2197.8,"Customer asked for a faster turnaround, please follow up."
151,2024-10-15,2024-11-05T05:40:53Z,Isabella Keller,isabella.keller.151@example.org,NL,pending,43,5708.34,"Line one for Isabella Keller, includes a comma.
Line two adds a quote: ""check CSV""."
152,2023-11-05,2023-11-27T02:44:03Z,Noah Kowalski,noah.kowalski.152@example.com,NL,active,18,-95.02,"Customer asked for a faster turnaround, please follow up."
153,2023-04-07,2023-04-23T03:39:11Z,José Rossi,jos.rossi.153@mail.test,UK,active,34,1893.81,"Reminder: send update by Friday, include the Q2 summary. Priority flagged; please confirm ""yes"" or ""no""."
154,2024-07-30,2024-08-23T17:23:31Z,Sophia Müller,sophia.m.ller.154@example.com,NL,active,53,4938.99,"Reminder: send update by Friday, include the Q2 summary."
155,2024-03-17,2024-03-25T02:39:35Z,Hannah Verhoeven,hannah.verhoeven.155@example.org,US,active,20,5649.97,"Customer asked for a faster turnaround, please follow up."
156,2023-09-01,2023-10-01T07:16:02Z,Charlotte Keller,charlotte.keller.156@example.com,ES,pending,21,6161.11,"Reminder: send update by Friday, include the Q2 summary."
157,2025-05-10,2025-05-30T11:42:55Z,Ella Schneider,ella.schneider.157@example.com,ES,active,37,805.25,"Customer asked for a faster turnaround, please follow up."
158,2023-09-09,2023-09-24T21:30:13Z,Noah Keller,noah.keller.158@example.com,IT,active,55,0,"Important: verify billing address, it changed recently."
159,2024-11-11,2024-11-16T10:13:18Z,Mia Lopez,mia.lopez.159@sample.io,NL,active,71,221.7,"Comment includes commas, quotes, and unicode: café, naïve, São Paulo."
160,2024-09-07,2024-09-21T04:03:36Z,Olivia Janssen,olivia.janssen.160@sample.io,NL,active,36,2084.12,"Noted issue with CSV export, ""quote handling"" needs review."
161,2023-09-05,2023-09-17T11:03:17Z,Marta Martin,marta.martin.161@mail.test,UK,blocked,44,6106.77,"Reminder: send update by Friday, include the Q2 summary."
162,2024-08-03,2024-08-19T05:20:58Z,Renée Taylor,ren.e.taylor.162@mail.test,US,active,21,2818.69,"Important: verify billing address, it changed recently."
